"status","pep number","PEP Title","authors","Python version"
"PA","https://peps.python.org/pep-0001/","PEP 1 – PEP Purpose and Guidelines","Barry Warsaw, Jeremy Hylton, David Goodger, Alyssa Coghlan",""
"PA","https://peps.python.org/pep-0002/","PEP 2 – Procedure for Adding New Modules","Brett Cannon, Martijn Faassen",""
"PW","https://peps.python.org/pep-0003/","PEP 3 – Guidelines for Handling Bug Reports","Jeremy Hylton",""
"PA","https://peps.python.org/pep-0004/","PEP 4 – Deprecation of Standard Modules","Brett Cannon, Martin von Löwis",""
"PS","https://peps.python.org/pep-0005/","PEP 5 – Guidelines for Language Evolution","Paul Prescod",""
"PS","https://peps.python.org/pep-0006/","PEP 6 – Bug Fix Releases","Aahz, Anthony Baxter",""
"PA","https://peps.python.org/pep-0007/","PEP 7 – Style Guide for C Code","Guido van Rossum, Barry Warsaw",""
"PA","https://peps.python.org/pep-0008/","PEP 8 – Style Guide for Python Code","Guido van Rossum, Barry Warsaw, Alyssa Coghlan",""
"PW","https://peps.python.org/pep-0009/","PEP 9 – Sample Plaintext PEP Template","Barry Warsaw",""
"PA","https://peps.python.org/pep-0010/","PEP 10 – Voting Guidelines","Barry Warsaw",""
"PA","https://peps.python.org/pep-0011/","PEP 11 – CPython platform support","Martin von Löwis, Brett Cannon",""
"PA","https://peps.python.org/pep-0012/","PEP 12 – Sample reStructuredText PEP Template","David Goodger, Barry Warsaw, Brett Cannon",""
"PA","https://peps.python.org/pep-0013/","PEP 13 – Python Language Governance","The Python core team and community",""
"IA","https://peps.python.org/pep-0020/","PEP 20 – The Zen of Python","Tim Peters",""
"PW","https://peps.python.org/pep-0042/","PEP 42 – Feature Requests","Jeremy Hylton",""
"SF","https://peps.python.org/pep-0100/","PEP 100 – Python Unicode Integration","Marc-André Lemburg","2.0"
"IA","https://peps.python.org/pep-0101/","PEP 101 – Doing Python Releases 101","Barry Warsaw, Guido van Rossum",""
"IS","https://peps.python.org/pep-0102/","PEP 102 – Doing Python Micro Releases","Anthony Baxter, Barry Warsaw, Guido van Rossum",""
"IW","https://peps.python.org/pep-0103/","PEP 103 – Collecting information about git","Oleg Broytman",""
"IF","https://peps.python.org/pep-0160/","PEP 160 – Python 1.6 Release Schedule","Fred L. Drake, Jr.","1.6"
"IF","https://peps.python.org/pep-0200/","PEP 200 – Python 2.0 Release Schedule","Jeremy Hylton","2.0"
"SF","https://peps.python.org/pep-0201/","PEP 201 – Lockstep Iteration","Barry Warsaw","2.0"
"SF","https://peps.python.org/pep-0202/","PEP 202 – List Comprehensions","Barry Warsaw","2.0"
"SF","https://peps.python.org/pep-0203/","PEP 203 – Augmented Assignments","Thomas Wouters","2.0"
"SR","https://peps.python.org/pep-0204/","PEP 204 – Range Literals","Thomas Wouters","2.0"
"SF","https://peps.python.org/pep-0205/","PEP 205 – Weak References","Fred L. Drake, Jr.","2.1"
"IW","https://peps.python.org/pep-0206/","PEP 206 – Python Advanced Library","A.M. Kuchling",""
"SF","https://peps.python.org/pep-0207/","PEP 207 – Rich Comparisons","Guido van Rossum, David Ascher","2.1"
"SF","https://peps.python.org/pep-0208/","PEP 208 – Reworking the Coercion Model","Neil Schemenauer, Marc-André Lemburg","2.1"
"SW","https://peps.python.org/pep-0209/","PEP 209 – Multi-dimensional Arrays","Paul Barrett, Travis Oliphant","2.2"
"SR","https://peps.python.org/pep-0210/","PEP 210 – Decoupling the Interpreter Loop","David Ascher","2.1"
"SR","https://peps.python.org/pep-0211/","PEP 211 – Adding A New Outer Product Operator","Greg Wilson","2.1"
"SR","https://peps.python.org/pep-0212/","PEP 212 – Loop Counter Iteration","Peter Schneider-Kamp","2.1"
"SD","https://peps.python.org/pep-0213/","PEP 213 – Attribute Access Handlers","Paul Prescod","2.1"
"SF","https://peps.python.org/pep-0214/","PEP 214 – Extended Print Statement","Barry Warsaw","2.0"
"SS","https://peps.python.org/pep-0215/","PEP 215 – String Interpolation","Ka-Ping Yee","2.1"
"IR","https://peps.python.org/pep-0216/","PEP 216 – Docstring Format","Moshe Zadka",""
"SF","https://peps.python.org/pep-0217/","PEP 217 – Display Hook for Interactive Use","Moshe Zadka","2.1"
"SF","https://peps.python.org/pep-0218/","PEP 218 – Adding a Built-In Set Object Type","Greg Wilson, Raymond Hettinger","2.2"
"SD","https://peps.python.org/pep-0219/","PEP 219 – Stackless Python","Gordon McMillan","2.1"
"IR","https://peps.python.org/pep-0220/","PEP 220 – Coroutines, Generators, Continuations","Gordon McMillan",""
"SF","https://peps.python.org/pep-0221/","PEP 221 – Import As","Thomas Wouters","2.0"
"SD","https://peps.python.org/pep-0222/","PEP 222 – Web Library Enhancements","A.M. Kuchling","2.1"
"SF","https://peps.python.org/pep-0223/","PEP 223 – Change the Meaning of \x Escapes","Tim Peters","2.0"
"SR","https://peps.python.org/pep-0224/","PEP 224 – Attribute Docstrings","Marc-André Lemburg","2.1"
"SR","https://peps.python.org/pep-0225/","PEP 225 – Elementwise/Objectwise Operators","Huaiyu Zhu, Gregory Lielens","2.1"
"IF","https://peps.python.org/pep-0226/","PEP 226 – Python 2.1 Release Schedule","Jeremy Hylton","2.1"
"SF","https://peps.python.org/pep-0227/","PEP 227 – Statically Nested Scopes","Jeremy Hylton","2.1"
"SW","https://peps.python.org/pep-0228/","PEP 228 – Reworking Python’s Numeric Model","Moshe Zadka, Guido van Rossum",""
"SF","https://peps.python.org/pep-0229/","PEP 229 – Using Distutils to Build Python","A.M. Kuchling","2.1"
"SF","https://peps.python.org/pep-0230/","PEP 230 – Warning Framework","Guido van Rossum","2.1"
"SR","https://peps.python.org/pep-0231/","PEP 231 – __findattr__()","Barry Warsaw","2.1"
"SF","https://peps.python.org/pep-0232/","PEP 232 – Function Attributes","Barry Warsaw","2.1"
"SD","https://peps.python.org/pep-0233/","PEP 233 – Python Online Help","Paul Prescod","2.1"
"SF","https://peps.python.org/pep-0234/","PEP 234 – Iterators","Ka-Ping Yee, Guido van Rossum","2.1"
"SF","https://peps.python.org/pep-0235/","PEP 235 – Import on Case-Insensitive Platforms","Tim Peters","2.1"
"SF","https://peps.python.org/pep-0236/","PEP 236 – Back to the __future__","Tim Peters","2.1"
"SF","https://peps.python.org/pep-0237/","PEP 237 – Unifying Long Integers and Integers","Moshe Zadka, Guido van Rossum","2.2"
"SF","https://peps.python.org/pep-0238/","PEP 238 – Changing the Division Operator","Moshe Zadka, Guido van Rossum","2.2"
"SR","https://peps.python.org/pep-0239/","PEP 239 – Adding a Rational Type to Python","Christopher A. Craig, Moshe Zadka","2.2"
"SR","https://peps.python.org/pep-0240/","PEP 240 – Adding a Rational Literal to Python","Christopher A. Craig, Moshe Zadka","2.2"
"SS","https://peps.python.org/pep-0241/","PEP 241 – Metadata for Python Software Packages","A.M. Kuchling",""
"SR","https://peps.python.org/pep-0242/","PEP 242 – Numeric Kinds","Paul F. Dubois","2.2"
"SW","https://peps.python.org/pep-0243/","PEP 243 – Module Repository Upload Mechanism","Sean Reifschneider","2.1"
"SR","https://peps.python.org/pep-0244/","PEP 244 – The directive statement","Martin von Löwis","2.1"
"SR","https://peps.python.org/pep-0245/","PEP 245 – Python Interface Syntax","Michel Pelletier","2.2"
"SR","https://peps.python.org/pep-0246/","PEP 246 – Object Adaptation","Alex Martelli, Clark C. Evans","2.5"
"IF","https://peps.python.org/pep-0247/","PEP 247 – API for Cryptographic Hash Functions","A.M. Kuchling",""
"IF","https://peps.python.org/pep-0248/","PEP 248 – Python Database API Specification v1.0","Greg Stein, Marc-André Lemburg",""
"IF","https://peps.python.org/pep-0249/","PEP 249 – Python Database API Specification v2.0","Marc-André Lemburg",""
"SF","https://peps.python.org/pep-0250/","PEP 250 – Using site-packages on Windows","Paul Moore","2.2"
"IF","https://peps.python.org/pep-0251/","PEP 251 – Python 2.2 Release Schedule","Barry Warsaw, Guido van Rossum","2.2"
"SF","https://peps.python.org/pep-0252/","PEP 252 – Making Types Look More Like Classes","Guido van Rossum","2.2"
"SF","https://peps.python.org/pep-0253/","PEP 253 – Subtyping Built-in Types","Guido van Rossum","2.2"
"SR","https://peps.python.org/pep-0254/","PEP 254 – Making Classes Look More Like Types","Guido van Rossum","2.2"
"SF","https://peps.python.org/pep-0255/","PEP 255 – Simple Generators","Neil Schemenauer, Tim Peters, Magnus Lie Hetland","2.2"
"SR","https://peps.python.org/pep-0256/","PEP 256 – Docstring Processing System Framework","David Goodger",""
"IA","https://peps.python.org/pep-0257/","PEP 257 – Docstring Conventions","David Goodger, Guido van Rossum",""
"SR","https://peps.python.org/pep-0258/","PEP 258 – Docutils Design Specification","David Goodger",""
"SR","https://peps.python.org/pep-0259/","PEP 259 – Omit printing newline after newline","Guido van Rossum","2.2"
"SF","https://peps.python.org/pep-0260/","PEP 260 – Simplify xrange()","Guido van Rossum","2.2"
"SF","https://peps.python.org/pep-0261/","PEP 261 – Support for “wide” Unicode characters","Paul Prescod","2.2"
"SR","https://peps.python.org/pep-0262/","PEP 262 – A Database of Installed Python Packages","A.M. Kuchling",""
"SF","https://peps.python.org/pep-0263/","PEP 263 – Defining Python Source Code Encodings","Marc-André Lemburg, Martin von Löwis","2.3"
"SF","https://peps.python.org/pep-0264/","PEP 264 – Future statements in simulated shells","Michael Hudson","2.2"
"SR","https://peps.python.org/pep-0265/","PEP 265 – Sorting Dictionaries by Value","Grant Griffin","2.2"
"SW","https://peps.python.org/pep-0266/","PEP 266 – Optimizing Global Variable/Attribute Access","Skip Montanaro","2.3"
"SD","https://peps.python.org/pep-0267/","PEP 267 – Optimized Access to Module Namespaces","Jeremy Hylton","2.2"
"SR","https://peps.python.org/pep-0268/","PEP 268 – Extended HTTP functionality and WebDAV","Greg Stein","2.x"
"SD","https://peps.python.org/pep-0269/","PEP 269 – Pgen Module for Python","Jonathan Riehl","2.2"
"SR","https://peps.python.org/pep-0270/","PEP 270 – uniq method for list objects","Jason Petrone","2.2"
"SR","https://peps.python.org/pep-0271/","PEP 271 – Prefixing sys.path by command line option","Frédéric B. Giacometti","2.2"
"IF","https://peps.python.org/pep-0272/","PEP 272 – API for Block Encryption Algorithms v1.0","A.M. Kuchling",""
"SF","https://peps.python.org/pep-0273/","PEP 273 – Import Modules from Zip Archives","James C. Ahlstrom","2.3"
"SF","https://peps.python.org/pep-0274/","PEP 274 – Dict Comprehensions","Barry Warsaw","2.7, 3.0"
"SR","https://peps.python.org/pep-0275/","PEP 275 – Switching on Multiple Values","Marc-André Lemburg","2.6"
"SR","https://peps.python.org/pep-0276/","PEP 276 – Simple Iterator for ints","Jim Althoff","2.3"
"SF","https://peps.python.org/pep-0277/","PEP 277 – Unicode file name support for Windows NT","Neil Hodgson","2.3"
"SF","https://peps.python.org/pep-0278/","PEP 278 – Universal Newline Support","Jack Jansen","2.3"
"SF","https://peps.python.org/pep-0279/","PEP 279 – The enumerate() built-in function","Raymond Hettinger","2.3"
"SD","https://peps.python.org/pep-0280/","PEP 280 – Optimizing access to globals","Guido van Rossum","2.3"
"SR","https://peps.python.org/pep-0281/","PEP 281 – Loop Counter Iteration with range and xrange","Magnus Lie Hetland","2.3"
"SF","https://peps.python.org/pep-0282/","PEP 282 – A Logging System","Vinay Sajip, Trent Mick","2.3"
"IF","https://peps.python.org/pep-0283/","PEP 283 – Python 2.3 Release Schedule","Guido van Rossum","2.3"
"SR","https://peps.python.org/pep-0284/","PEP 284 – Integer for-loops","David Eppstein, Gregory Ewing","2.3"
"SF","https://peps.python.org/pep-0285/","PEP 285 – Adding a bool type","Guido van Rossum","2.3"
"SD","https://peps.python.org/pep-0286/","PEP 286 – Enhanced Argument Tuples","Martin von Löwis","2.3"
"IA","https://peps.python.org/pep-0287/","PEP 287 – reStructuredText Docstring Format","David Goodger",""
"SW","https://peps.python.org/pep-0288/","PEP 288 – Generators Attributes and Exceptions","Raymond Hettinger","2.5"
"SF","https://peps.python.org/pep-0289/","PEP 289 – Generator Expressions","Raymond Hettinger","2.4"
"IA","https://peps.python.org/pep-0290/","PEP 290 – Code Migration and Modernization","Raymond Hettinger",""
"IF","https://peps.python.org/pep-0291/","PEP 291 – Backward Compatibility for the Python 2 Standard Library","Neal Norwitz","2.3"
"SF","https://peps.python.org/pep-0292/","PEP 292 – Simpler String Substitutions","Barry Warsaw","2.4"
"SF","https://peps.python.org/pep-0293/","PEP 293 – Codec Error Handling Callbacks","Walter Dörwald","2.3"
"SR","https://peps.python.org/pep-0294/","PEP 294 – Type Names in the types Module","Oren Tirosh","2.5"
"SR","https://peps.python.org/pep-0295/","PEP 295 – Interpretation of multiline string constants","Stepan Koltsov","3.0"
"SW","https://peps.python.org/pep-0296/","PEP 296 – Adding a bytes Object Type","Scott Gilbert","2.3"
"SR","https://peps.python.org/pep-0297/","PEP 297 – Support for System Upgrades","Marc-André Lemburg","2.6"
"SW","https://peps.python.org/pep-0298/","PEP 298 – The Locked Buffer Interface","Thomas Heller","2.3"
"SR","https://peps.python.org/pep-0299/","PEP 299 – Special __main__() function in modules","Jeff Epler","2.3"
"SF","https://peps.python.org/pep-0301/","PEP 301 – Package Index and Metadata for Distutils","Richard Jones","2.3"
"SF","https://peps.python.org/pep-0302/","PEP 302 – New Import Hooks","Just van Rossum, Paul Moore","2.3"
"SR","https://peps.python.org/pep-0303/","PEP 303 – Extend divmod() for Multiple Divisors","Thomas Bellman","2.3"
"SW","https://peps.python.org/pep-0304/","PEP 304 – Controlling Generation of Bytecode Files","Skip Montanaro",""
"SF","https://peps.python.org/pep-0305/","PEP 305 – CSV File API","Kevin Altis, Dave Cole, Andrew McNamara, Skip Montanaro, Cliff Wells","2.3"
"IW","https://peps.python.org/pep-0306/","PEP 306 – How to Change Python’s Grammar","Michael Hudson, Jack Diederich, Alyssa Coghlan, Benjamin Peterson",""
"SF","https://peps.python.org/pep-0307/","PEP 307 – Extensions to the pickle protocol","Guido van Rossum, Tim Peters","2.3"
"SF","https://peps.python.org/pep-0308/","PEP 308 – Conditional Expressions","Guido van Rossum, Raymond Hettinger","2.5"
"SF","https://peps.python.org/pep-0309/","PEP 309 – Partial Function Application","Peter Harris","2.5"
"SR","https://peps.python.org/pep-0310/","PEP 310 – Reliable Acquisition/Release Pairs","Michael Hudson, Paul Moore","2.4"
"SF","https://peps.python.org/pep-0311/","PEP 311 – Simplified Global Interpreter Lock Acquisition for Extensions","Mark Hammond","2.3"
"SD","https://peps.python.org/pep-0312/","PEP 312 – Simple Implicit Lambda","Roman Suzi, Alex Martelli","2.4"
"SR","https://peps.python.org/pep-0313/","PEP 313 – Adding Roman Numeral Literals to Python","Mike Meyer","2.4"
"SS","https://peps.python.org/pep-0314/","PEP 314 – Metadata for Python Software Packages 1.1","A.M. Kuchling, Richard Jones","2.5"
"SR","https://peps.python.org/pep-0315/","PEP 315 – Enhanced While Loop","Raymond Hettinger, W Isaac Carroll","2.5"
"SD","https://peps.python.org/pep-0316/","PEP 316 – Programming by Contract for Python","Terence Way",""
"SR","https://peps.python.org/pep-0317/","PEP 317 – Eliminate Implicit Exception Instantiation","Steven Taschuk","2.4"
"SF","https://peps.python.org/pep-0318/","PEP 318 – Decorators for Functions and Methods","Kevin D. Smith, Jim J. Jewett, Skip Montanaro, Anthony Baxter","2.4"
"SR","https://peps.python.org/pep-0319/","PEP 319 – Python Synchronize/Asynchronize Block","Michel Pelletier","2.4"
"IF","https://peps.python.org/pep-0320/","PEP 320 – Python 2.4 Release Schedule","Barry Warsaw, Raymond Hettinger, Anthony Baxter","2.4"
"SW","https://peps.python.org/pep-0321/","PEP 321 – Date/Time Parsing and Formatting","A.M. Kuchling","2.4"
"SF","https://peps.python.org/pep-0322/","PEP 322 – Reverse Iteration","Raymond Hettinger","2.4"
"SD","https://peps.python.org/pep-0323/","PEP 323 – Copyable Iterators","Alex Martelli","2.5"
"SF","https://peps.python.org/pep-0324/","PEP 324 – subprocess - New process module","Peter Astrand","2.4"
"SR","https://peps.python.org/pep-0325/","PEP 325 – Resource-Release Support for Generators","Samuele Pedroni","2.4"
"SR","https://peps.python.org/pep-0326/","PEP 326 – A Case for Top and Bottom Values","Josiah Carlson, Terry Reedy","2.4"
"SF","https://peps.python.org/pep-0327/","PEP 327 – Decimal Data Type","Facundo Batista","2.4"
"SF","https://peps.python.org/pep-0328/","PEP 328 – Imports: Multi-Line and Absolute/Relative","Aahz","2.4, 2.5, 2.6"
"SR","https://peps.python.org/pep-0329/","PEP 329 – Treating Builtins as Constants in the Standard Library","Raymond Hettinger","2.4"
"SR","https://peps.python.org/pep-0330/","PEP 330 – Python Bytecode Verification","Michel Pelletier","2.6"
"SF","https://peps.python.org/pep-0331/","PEP 331 – Locale-Independent Float/String Conversions","Christian R. Reis","2.4"
"SR","https://peps.python.org/pep-0332/","PEP 332 – Byte vectors and String/Unicode Unification","Skip Montanaro","2.5"
"IF","https://peps.python.org/pep-0333/","PEP 333 – Python Web Server Gateway Interface v1.0","Phillip J. Eby",""
"SW","https://peps.python.org/pep-0334/","PEP 334 – Simple Coroutines via SuspendIteration","Clark C. Evans","3.0"
"SR","https://peps.python.org/pep-0335/","PEP 335 – Overloadable Boolean Operators","Gregory Ewing","3.3"
"SR","https://peps.python.org/pep-0336/","PEP 336 – Make None Callable","Andrew McClelland",""
"SD","https://peps.python.org/pep-0337/","PEP 337 – Logging Usage in the Standard Library","Michael P. Dubner","2.5"
"SF","https://peps.python.org/pep-0338/","PEP 338 – Executing modules as scripts","Alyssa Coghlan","2.5"
"IW","https://peps.python.org/pep-0339/","PEP 339 – Design of the CPython Compiler","Brett Cannon",""
"SR","https://peps.python.org/pep-0340/","PEP 340 – Anonymous Block Statements","Guido van Rossum",""
"SF","https://peps.python.org/pep-0341/","PEP 341 – Unifying try-except and try-finally","Georg Brandl","2.5"
"SF","https://peps.python.org/pep-0342/","PEP 342 – Coroutines via Enhanced Generators","Guido van Rossum, Phillip J. Eby","2.5"
"SF","https://peps.python.org/pep-0343/","PEP 343 – The “with” Statement","Guido van Rossum, Alyssa Coghlan","2.5"
"SS","https://peps.python.org/pep-0344/","PEP 344 – Exception Chaining and Embedded Tracebacks","Ka-Ping Yee","2.5"
"SS","https://peps.python.org/pep-0345/","PEP 345 – Metadata for Python Software Packages 1.2","Richard Jones","2.7"
"SW","https://peps.python.org/pep-0346/","PEP 346 – User Defined (”with”) Statements","Alyssa Coghlan","2.5"
"PF","https://peps.python.org/pep-0347/","PEP 347 – Migrating the Python CVS to Subversion","Martin von Löwis",""
"SR","https://peps.python.org/pep-0348/","PEP 348 – Exception Reorganization for Python 3.0","Brett Cannon",""
"SR","https://peps.python.org/pep-0349/","PEP 349 – Allow str() to return unicode strings","Neil Schemenauer","2.5"
"IR","https://peps.python.org/pep-0350/","PEP 350 – Codetags","Micah Elliott",""
"SR","https://peps.python.org/pep-0351/","PEP 351 – The freeze protocol","Barry Warsaw",""
"SF","https://peps.python.org/pep-0352/","PEP 352 – Required Superclass for Exceptions","Brett Cannon, Guido van Rossum","2.5"
"SF","https://peps.python.org/pep-0353/","PEP 353 – Using ssize_t as the index type","Martin von Löwis","2.5"
"SS","https://peps.python.org/pep-0354/","PEP 354 – Enumerations in Python","Ben Finney","2.6"
"SR","https://peps.python.org/pep-0355/","PEP 355 – Path - Object oriented filesystem paths","Björn Lindqvist","2.5"
"IF","https://peps.python.org/pep-0356/","PEP 356 – Python 2.5 Release Schedule","Neal Norwitz, Guido van Rossum, Anthony Baxter","2.5"
"SF","https://peps.python.org/pep-0357/","PEP 357 – Allowing Any Object to be Used for Slicing","Travis Oliphant","2.5"
"SF","https://peps.python.org/pep-0358/","PEP 358 – The “bytes” Object","Neil Schemenauer, Guido van Rossum","2.6, 3.0"
"SW","https://peps.python.org/pep-0359/","PEP 359 – The “make” Statement","Steven Bethard","2.6"
"PF","https://peps.python.org/pep-0360/","PEP 360 – Externally Maintained Packages","Brett Cannon",""
"IF","https://peps.python.org/pep-0361/","PEP 361 – Python 2.6 and 3.0 Release Schedule","Neal Norwitz, Barry Warsaw","2.6, 3.0"
"SF","https://peps.python.org/pep-0362/","PEP 362 – Function Signature Object","Brett Cannon, Jiwon Seo, Yury Selivanov, Larry Hastings","3.3"
"SR","https://peps.python.org/pep-0363/","PEP 363 – Syntax For Dynamic Attribute Access","Ben North",""
"SW","https://peps.python.org/pep-0364/","PEP 364 – Transitioning to the Py3K Standard Library","Barry Warsaw","2.6"
"SR","https://peps.python.org/pep-0365/","PEP 365 – Adding the pkg_resources module","Phillip J. Eby",""
"SF","https://peps.python.org/pep-0366/","PEP 366 – Main module explicit relative imports","Alyssa Coghlan","2.6, 3.0"
"SS","https://peps.python.org/pep-0367/","PEP 367 – New Super","Calvin Spealman, Tim Delaney","2.6"
"SD","https://peps.python.org/pep-0368/","PEP 368 – Standard image protocol and class","Lino Mastrodomenico","2.6, 3.0"
"SW","https://peps.python.org/pep-0369/","PEP 369 – Post import hooks","Christian Heimes","2.6, 3.0"
"SF","https://peps.python.org/pep-0370/","PEP 370 – Per user site-packages directory","Christian Heimes","2.6, 3.0"
"SF","https://peps.python.org/pep-0371/","PEP 371 – Addition of the multiprocessing package to the standard library","Jesse Noller, Richard Oudkerk","2.6, 3.0"
"SF","https://peps.python.org/pep-0372/","PEP 372 – Adding an ordered dictionary to collections","Armin Ronacher, Raymond Hettinger","2.7, 3.1"
"IF","https://peps.python.org/pep-0373/","PEP 373 – Python 2.7 Release Schedule","Benjamin Peterson","2.7"
"PF","https://peps.python.org/pep-0374/","PEP 374 – Choosing a distributed VCS for the Python project","Brett Cannon, Stephen J. Turnbull, Alexandre Vassalotti, Barry Warsaw, Dirkjan Ochtman",""
"IF","https://peps.python.org/pep-0375/","PEP 375 – Python 3.1 Release Schedule","Benjamin Peterson","3.1"
"SF","https://peps.python.org/pep-0376/","PEP 376 – Database of Installed Python Distributions","Tarek Ziadé","2.7, 3.2"
"SR","https://peps.python.org/pep-0377/","PEP 377 – Allow __enter__() methods to skip the statement body","Alyssa Coghlan","2.7, 3.1"
"SF","https://peps.python.org/pep-0378/","PEP 378 – Format Specifier for Thousands Separator","Raymond Hettinger","2.7, 3.1"
"SW","https://peps.python.org/pep-0379/","PEP 379 – Adding an Assignment Expression","Jervis Whitley","2.7, 3.2"
"SF","https://peps.python.org/pep-0380/","PEP 380 – Syntax for Delegating to a Subgenerator","Gregory Ewing","3.3"
"SW","https://peps.python.org/pep-0381/","PEP 381 – Mirroring infrastructure for PyPI","Tarek Ziadé, Martin von Löwis",""
"SR","https://peps.python.org/pep-0382/","PEP 382 – Namespace Packages","Martin von Löwis","3.2"
"SF","https://peps.python.org/pep-0383/","PEP 383 – Non-decodable Bytes in System Character Interfaces","Martin von Löwis","3.1"
"SF","https://peps.python.org/pep-0384/","PEP 384 – Defining a Stable ABI","Martin von Löwis","3.2"
"PF","https://peps.python.org/pep-0385/","PEP 385 – Migrating from Subversion to Mercurial","Dirkjan Ochtman, Antoine Pitrou, Georg Brandl",""
"SS","https://peps.python.org/pep-0386/","PEP 386 – Changing the version comparison module in Distutils","Tarek Ziadé",""
"PA","https://peps.python.org/pep-0387/","PEP 387 – Backwards Compatibility Policy","Benjamin Peterson",""
"SF","https://peps.python.org/pep-0389/","PEP 389 – argparse - New Command Line Parsing Module","Steven Bethard","2.7, 3.2"
"SR","https://peps.python.org/pep-0390/","PEP 390 – Static metadata for Distutils","Tarek Ziadé","2.7, 3.2"
"SF","https://peps.python.org/pep-0391/","PEP 391 – Dictionary-Based Configuration For Logging","Vinay Sajip","2.7, 3.2"
"IF","https://peps.python.org/pep-0392/","PEP 392 – Python 3.2 Release Schedule","Georg Brandl","3.2"
"SF","https://peps.python.org/pep-0393/","PEP 393 – Flexible String Representation","Martin von Löwis","3.3"
"IA","https://peps.python.org/pep-0394/","PEP 394 – The “python” Command on Unix-Like Systems","Kerrick Staley, Alyssa Coghlan, Barry Warsaw, Petr Viktorin, Miro Hrončok, Carol Willing",""
"SW","https://peps.python.org/pep-0395/","PEP 395 – Qualified Names for Modules","Alyssa Coghlan","3.4"
"IR","https://peps.python.org/pep-0396/","PEP 396 – Module Version Numbers","Barry Warsaw",""
"SF","https://peps.python.org/pep-0397/","PEP 397 – Python launcher for Windows","Mark Hammond, Martin von Löwis","3.3"
"IF","https://peps.python.org/pep-0398/","PEP 398 – Python 3.3 Release Schedule","Georg Brandl","3.3"
"IF","https://peps.python.org/pep-0399/","PEP 399 – Pure Python/C Accelerator Module Compatibility Requirements","Brett Cannon","3.3"
"SD","https://peps.python.org/pep-0400/","PEP 400 – Deprecate codecs.StreamReader and codecs.StreamWriter","Victor Stinner","3.3"
"PR","https://peps.python.org/pep-0401/","PEP 401 – BDFL Retirement","Barry Warsaw, Brett Cannon",""
"SR","https://peps.python.org/pep-0402/","PEP 402 – Simplified Package Layout and Partitioning","Phillip J. Eby","3.3"
"SD","https://peps.python.org/pep-0403/","PEP 403 – General purpose decorator clause (aka “@in” clause)","Alyssa Coghlan","3.4"
"IF","https://peps.python.org/pep-0404/","PEP 404 – Python 2.8 Un-release Schedule","Barry Warsaw","2.8"
"SF","https://peps.python.org/pep-0405/","PEP 405 – Python Virtual Environments","Carl Meyer","3.3"
