"status","pep number","PEP Title","authors","Python version"
"SW","https://peps.python.org/pep-0406/","PEP 406 – Improved Encapsulation of Import State","Alyssa Coghlan, Greg Slodkowicz","3.4"
"PD","https://peps.python.org/pep-0407/","PEP 407 – New release cycle and introducing long-term support versions","Antoine Pitrou, Georg Brandl, Barry Warsaw",""
"SR","https://peps.python.org/pep-0408/","PEP 408 – Standard library __preview__ package","Alyssa Coghlan, Eli Bendersky","3.3"
"SF","https://peps.python.org/pep-0409/","PEP 409 – Suppressing exception context","Ethan Furman","3.3"
"SR","https://peps.python.org/pep-0410/","PEP 410 – Use decimal.Decimal type for timestamps","Victor Stinner","3.3"
"IS","https://peps.python.org/pep-0411/","PEP 411 – Provisional packages in the Python standard library","Alyssa Coghlan, Eli Bendersky","3.3"
"SF","https://peps.python.org/pep-0412/","PEP 412 – Key-Sharing Dictionary","Mark Shannon","3.3"
"PW","https://peps.python.org/pep-0413/","PEP 413 – Faster evolution of the Python Standard Library","Alyssa Coghlan",""
"SF","https://peps.python.org/pep-0414/","PEP 414 – Explicit Unicode Literal for Python 3.3","Armin Ronacher, Alyssa Coghlan","3.3"
"SF","https://peps.python.org/pep-0415/","PEP 415 – Implement context suppression with exception attributes","Benjamin Peterson","3.3"
"SR","https://peps.python.org/pep-0416/","PEP 416 – Add a frozendict builtin type","Victor Stinner","3.3"
"SF","https://peps.python.org/pep-0417/","PEP 417 – Including mock in the Standard Library","Michael Foord","3.3"
"SF","https://peps.python.org/pep-0418/","PEP 418 – Add monotonic time, performance counter, and process time functions","Cameron Simpson, Jim J. Jewett, Stephen J. Turnbull, Victor Stinner","3.3"
"SD","https://peps.python.org/pep-0419/","PEP 419 – Protecting cleanup statements from interruptions","Paul Colomiets","3.3"
"SF","https://peps.python.org/pep-0420/","PEP 420 – Implicit Namespace Packages","Eric V. Smith","3.3"
"SF","https://peps.python.org/pep-0421/","PEP 421 – Adding sys.implementation","Eric Snow","3.3"
"SW","https://peps.python.org/pep-0422/","PEP 422 – Simpler customisation of class creation","Alyssa Coghlan, Daniel Urban","3.5"
"ID","https://peps.python.org/pep-0423/","PEP 423 – Naming conventions and recipes related to packaging","Benoit Bryon",""
"SF","https://peps.python.org/pep-0424/","PEP 424 – A method for exposing a length hint","Alex Gaynor","3.4"
"SF","https://peps.python.org/pep-0425/","PEP 425 – Compatibility Tags for Built Distributions","Daniel Holth","3.4"
"IW","https://peps.python.org/pep-0426/","PEP 426 – Metadata for Python Software Packages 2.0","Alyssa Coghlan, Daniel Holth, Donald Stufft",""
"SF","https://peps.python.org/pep-0427/","PEP 427 – The Wheel Binary Package Format 1.0","Daniel Holth",""
"SF","https://peps.python.org/pep-0428/","PEP 428 – The pathlib module – object-oriented filesystem paths","Antoine Pitrou","3.4"
"IF","https://peps.python.org/pep-0429/","PEP 429 – Python 3.4 Release Schedule","Larry Hastings","3.4"
"IF","https://peps.python.org/pep-0430/","PEP 430 – Migrating to Python 3 as the default online documentation","Alyssa Coghlan",""
"SS","https://peps.python.org/pep-0431/","PEP 431 – Time zone support improvements","Lennart Regebro",""
"SW","https://peps.python.org/pep-0432/","PEP 432 – Restructuring the CPython startup sequence","Alyssa Coghlan, Victor Stinner, Eric Snow",""
"SS","https://peps.python.org/pep-0433/","PEP 433 – Easier suppression of file descriptor inheritance","Victor Stinner","3.4"
"IA","https://peps.python.org/pep-0434/","PEP 434 – IDLE Enhancement Exception for All Branches","Todd Rovito, Terry Reedy",""
"SF","https://peps.python.org/pep-0435/","PEP 435 – Adding an Enum type to the Python standard library","Barry Warsaw, Eli Bendersky, Ethan Furman","3.4"
"SF","https://peps.python.org/pep-0436/","PEP 436 – The Argument Clinic DSL","Larry Hastings","3.4"
"SR","https://peps.python.org/pep-0437/","PEP 437 – A DSL for specifying signatures, annotations and argument converters","Stefan Krah","3.4"
"PS","https://peps.python.org/pep-0438/","PEP 438 – Transitioning to release-file hosting on PyPI","Holger Krekel, Carl Meyer",""
"SR","https://peps.python.org/pep-0439/","PEP 439 – Inclusion of implicit pip bootstrap in Python installation","Richard Jones","3.4"
"SF","https://peps.python.org/pep-0440/","PEP 440 – Version Identification and Dependency Specification","Alyssa Coghlan, Donald Stufft",""
"SF","https://peps.python.org/pep-0441/","PEP 441 – Improving Python ZIP Application Support","Daniel Holth, Paul Moore","3.5"
"SF","https://peps.python.org/pep-0442/","PEP 442 – Safe object finalization","Antoine Pitrou","3.4"
"SF","https://peps.python.org/pep-0443/","PEP 443 – Single-dispatch generic functions","Łukasz Langa","3.4"
"ID","https://peps.python.org/pep-0444/","PEP 444 – Python Web3 Interface","Chris McDonough, Armin Ronacher",""
"SF","https://peps.python.org/pep-0445/","PEP 445 – Add new APIs to customize Python memory allocators","Victor Stinner","3.4"
"SF","https://peps.python.org/pep-0446/","PEP 446 – Make newly created file descriptors non-inheritable","Victor Stinner","3.4"
"SD","https://peps.python.org/pep-0447/","PEP 447 – Add __getdescriptor__ method to metaclass","Ronald Oussoren",""
"SF","https://peps.python.org/pep-0448/","PEP 448 – Additional Unpacking Generalizations","Joshua Landau","3.5"
"PF","https://peps.python.org/pep-0449/","PEP 449 – Removal of the PyPI Mirror Auto Discovery and Naming Scheme","Donald Stufft",""
"SF","https://peps.python.org/pep-0450/","PEP 450 – Adding A Statistics Module To The Standard Library","Steven D’Aprano","3.4"
"SF","https://peps.python.org/pep-0451/","PEP 451 – A ModuleSpec Type for the Import System","Eric Snow","3.4"
"IF","https://peps.python.org/pep-0452/","PEP 452 – API for Cryptographic Hash Functions v2.0","A.M. Kuchling, Christian Heimes",""
"SF","https://peps.python.org/pep-0453/","PEP 453 – Explicit bootstrapping of pip in Python installations","Donald Stufft, Alyssa Coghlan",""
"SF","https://peps.python.org/pep-0454/","PEP 454 – Add a new tracemalloc module to trace Python memory allocations","Victor Stinner","3.4"
"SR","https://peps.python.org/pep-0455/","PEP 455 – Adding a key-transforming dictionary to collections","Antoine Pitrou","3.5"
"SF","https://peps.python.org/pep-0456/","PEP 456 – Secure and interchangeable hash algorithm","Christian Heimes","3.4"
"IF","https://peps.python.org/pep-0457/","PEP 457 – Notation For Positional-Only Parameters","Larry Hastings",""
"SA","https://peps.python.org/pep-0458/","PEP 458 – Secure PyPI downloads with signed repository metadata","Trishank Karthik Kuppusamy, Vladimir Diaz, Marina Moore, Lukas Puehringer, Joshua Lock, Lois Anne DeLong, Justin Cappos",""
"SW","https://peps.python.org/pep-0459/","PEP 459 – Standard Metadata Extensions for Python Software Packages","Alyssa Coghlan",""
"SW","https://peps.python.org/pep-0460/","PEP 460 – Add binary interpolation and formatting","Antoine Pitrou","3.5"
"SF","https://peps.python.org/pep-0461/","PEP 461 – Adding % formatting to bytes and bytearray","Ethan Furman","3.5"
"PW","https://peps.python.org/pep-0462/","PEP 462 – Core development workflow automation for CPython","Alyssa Coghlan",""
"SR","https://peps.python.org/pep-0463/","PEP 463 – Exception-catching expressions","Chris Angelico","3.5"
"PF","https://peps.python.org/pep-0464/","PEP 464 – Removal of the PyPI Mirror Authenticity API","Donald Stufft",""
"SF","https://peps.python.org/pep-0465/","PEP 465 – A dedicated infix operator for matrix multiplication","Nathaniel J. Smith","3.5"
"SF","https://peps.python.org/pep-0466/","PEP 466 – Network Security Enhancements for Python 2.7.x","Alyssa Coghlan","2.7.9"
"S","https://peps.python.org/pep-0467/","PEP 467 – Minor API improvements for binary sequences","Alyssa Coghlan, Ethan Furman","3.13"
"SF","https://peps.python.org/pep-0468/","PEP 468 – Preserving the order of **kwargs in a function.","Eric Snow","3.6"
"SW","https://peps.python.org/pep-0469/","PEP 469 – Migration of dict iteration code to Python 3","Alyssa Coghlan","3.5"
"PF","https://peps.python.org/pep-0470/","PEP 470 – Removing External Hosting Support on PyPI","Donald Stufft",""
"SF","https://peps.python.org/pep-0471/","PEP 471 – os.scandir() function – a better and faster directory iterator","Ben Hoyt","3.5"
"SR","https://peps.python.org/pep-0472/","PEP 472 – Support for indexing with keyword arguments","Stefano Borini, Joseph Martinot-Lagarde","3.6"
"SR","https://peps.python.org/pep-0473/","PEP 473 – Adding structured data to built-in exceptions","Sebastian Kreft",""
"PW","https://peps.python.org/pep-0474/","PEP 474 – Creating forge.python.org","Alyssa Coghlan",""
"SF","https://peps.python.org/pep-0475/","PEP 475 – Retry system calls failing with EINTR","Charles-François Natali, Victor Stinner","3.5"
"SF","https://peps.python.org/pep-0476/","PEP 476 – Enabling certificate verification by default for stdlib http clients","Alex Gaynor","2.7.9, 3.4.3, 3.5"
"SF","https://peps.python.org/pep-0477/","PEP 477 – Backport ensurepip (PEP 453) to Python 2.7","Donald Stufft, Alyssa Coghlan",""
"IF","https://peps.python.org/pep-0478/","PEP 478 – Python 3.5 Release Schedule","Larry Hastings","3.5"
"SF","https://peps.python.org/pep-0479/","PEP 479 – Change StopIteration handling inside generators","Chris Angelico, Guido van Rossum","3.5"
"S","https://peps.python.org/pep-0480/","PEP 480 – Surviving a Compromise of PyPI: End-to-end signing of packages","Trishank Karthik Kuppusamy, Vladimir Diaz, Justin Cappos, Marina Moore",""
"PW","https://peps.python.org/pep-0481/","PEP 481 – Migrate CPython to Git, Github, and Phabricator","Donald Stufft",""
"IF","https://peps.python.org/pep-0482/","PEP 482 – Literature Overview for Type Hints","Łukasz Langa",""
"IF","https://peps.python.org/pep-0483/","PEP 483 – The Theory of Type Hints","Guido van Rossum, Ivan Levkivskyi",""
"SF","https://peps.python.org/pep-0484/","PEP 484 – Type Hints","Guido van Rossum, Jukka Lehtosalo, Łukasz Langa","3.5"
"SF","https://peps.python.org/pep-0485/","PEP 485 – A Function for testing approximate equality","Christopher Barker","3.5"
"SF","https://peps.python.org/pep-0486/","PEP 486 – Make the Python Launcher aware of virtual environments","Paul Moore","3.5"
"SF","https://peps.python.org/pep-0487/","PEP 487 – Simpler customisation of class creation","Martin Teichmann","3.6"
"SF","https://peps.python.org/pep-0488/","PEP 488 – Elimination of PYO files","Brett Cannon","3.5"
"SF","https://peps.python.org/pep-0489/","PEP 489 – Multi-phase extension module initialization","Petr Viktorin, Stefan Behnel, Alyssa Coghlan","3.5"
"SR","https://peps.python.org/pep-0490/","PEP 490 – Chain exceptions at C level","Victor Stinner","3.6"
"SD","https://peps.python.org/pep-0491/","PEP 491 – The Wheel Binary Package Format 1.9","Daniel Holth",""
"SF","https://peps.python.org/pep-0492/","PEP 492 – Coroutines with async and await syntax","Yury Selivanov","3.5"
"SF","https://peps.python.org/pep-0493/","PEP 493 – HTTPS verification migration tools for Python 2.7","Alyssa Coghlan, Robert Kuska, Marc-André Lemburg","2.7.12"
"IF","https://peps.python.org/pep-0494/","PEP 494 – Python 3.6 Release Schedule","Ned Deily","3.6"
"SF","https://peps.python.org/pep-0495/","PEP 495 – Local Time Disambiguation","Alexander Belopolsky, Tim Peters","3.6"
"IR","https://peps.python.org/pep-0496/","PEP 496 – Environment Markers","James Polley",""
"PR","https://peps.python.org/pep-0497/","PEP 497 – A standard mechanism for backward compatibility","Ed Schofield",""
"SF","https://peps.python.org/pep-0498/","PEP 498 – Literal String Interpolation","Eric V. Smith","3.6"
"SD","https://peps.python.org/pep-0499/","PEP 499 – python -m foo should also bind 'foo' in sys.modules","Cameron Simpson, Chris Angelico, Joseph Jevnik","3.10"
"SR","https://peps.python.org/pep-0500/","PEP 500 – A protocol for delegating datetime methods to their tzinfo implementations","Alexander Belopolsky, Tim Peters",""
"SD","https://peps.python.org/pep-0501/","PEP 501 – General purpose string interpolation","Alyssa Coghlan","3.6"
"IR","https://peps.python.org/pep-0502/","PEP 502 – String Interpolation - Extended Discussion","Mike G. Miller","3.6"
"SF","https://peps.python.org/pep-0503/","PEP 503 – Simple Repository API","Donald Stufft",""
"SW","https://peps.python.org/pep-0504/","PEP 504 – Using the System RNG by default","Alyssa Coghlan","3.6"
"SD","https://peps.python.org/pep-0505/","PEP 505 – None-aware operators","Mark E. Haase, Steve Dower","3.8"
"SF","https://peps.python.org/pep-0506/","PEP 506 – Adding A Secrets Module To The Standard Library","Steven D’Aprano","3.6"
"PR","https://peps.python.org/pep-0507/","PEP 507 – Migrate CPython to Git and GitLab","Barry Warsaw",""
"SF","https://peps.python.org/pep-0508/","PEP 508 – Dependency specification for Python Software Packages","Robert Collins",""
"SS","https://peps.python.org/pep-0509/","PEP 509 – Add a private version to dict","Victor Stinner","3.6"
"SR","https://peps.python.org/pep-0510/","PEP 510 – Specialize functions with guards","Victor Stinner","3.6"
"SR","https://peps.python.org/pep-0511/","PEP 511 – API for code transformers","Victor Stinner","3.6"
"PF","https://peps.python.org/pep-0512/","PEP 512 – Migrating from hg.python.org to GitHub","Brett Cannon",""
"IS","https://peps.python.org/pep-0513/","PEP 513 – A Platform Tag for Portable Linux Built Distributions","Robert T. McGibbon, Nathaniel J. Smith",""
"IA","https://peps.python.org/pep-0514/","PEP 514 – Python registration in the Windows registry","Steve Dower",""
"SF","https://peps.python.org/pep-0515/","PEP 515 – Underscores in Numeric Literals","Georg Brandl, Serhiy Storchaka","3.6"
"SR","https://peps.python.org/pep-0516/","PEP 516 – Build system abstraction for pip/conda etc","Robert Collins, Nathaniel J. Smith",""
"SF","https://peps.python.org/pep-0517/","PEP 517 – A build-system independent format for source trees","Nathaniel J. Smith, Thomas Kluyver",""
"SF","https://peps.python.org/pep-0518/","PEP 518 – Specifying Minimum Build System Requirements for Python Projects","Brett Cannon, Nathaniel J. Smith, Donald Stufft",""
"SF","https://peps.python.org/pep-0519/","PEP 519 – Adding a file system path protocol","Brett Cannon, Koos Zevenhoven","3.6"
"SF","https://peps.python.org/pep-0520/","PEP 520 – Preserving Class Attribute Definition Order","Eric Snow","3.6"
"SW","https://peps.python.org/pep-0521/","PEP 521 – Managing global context via ‘with’ blocks in generators and coroutines","Nathaniel J. Smith","3.6"
"SR","https://peps.python.org/pep-0522/","PEP 522 – Allow BlockingIOError in security sensitive APIs","Alyssa Coghlan, Nathaniel J. Smith","3.6"
"SF","https://peps.python.org/pep-0523/","PEP 523 – Adding a frame evaluation API to CPython","Brett Cannon, Dino Viehland","3.6"
"SF","https://peps.python.org/pep-0524/","PEP 524 – Make os.urandom() blocking on Linux","Victor Stinner","3.6"
"SF","https://peps.python.org/pep-0525/","PEP 525 – Asynchronous Generators","Yury Selivanov","3.6"
"SF","https://peps.python.org/pep-0526/","PEP 526 – Syntax for Variable Annotations","Ryan Gonzalez, Philip House, Ivan Levkivskyi, Lisa Roach, Guido van Rossum","3.6"
"SF","https://peps.python.org/pep-0527/","PEP 527 – Removing Un(der)used file types/extensions on PyPI","Donald Stufft",""
"SF","https://peps.python.org/pep-0528/","PEP 528 – Change Windows console encoding to UTF-8","Steve Dower","3.6"
"SF","https://peps.python.org/pep-0529/","PEP 529 – Change Windows filesystem encoding to UTF-8","Steve Dower","3.6"
"SF","https://peps.python.org/pep-0530/","PEP 530 – Asynchronous Comprehensions","Yury Selivanov","3.6"
"SW","https://peps.python.org/pep-0531/","PEP 531 – Existence checking operators","Alyssa Coghlan","3.7"
"SD","https://peps.python.org/pep-0532/","PEP 532 – A circuit breaking protocol and binary operators","Alyssa Coghlan, Mark E. Haase","3.8"
"SD","https://peps.python.org/pep-0533/","PEP 533 – Deterministic cleanup for iterators","Nathaniel J. Smith",""
"SD","https://peps.python.org/pep-0534/","PEP 534 – Improved Errors for Missing Standard Library Modules","Tomáš Orsava, Petr Viktorin, Alyssa Coghlan",""
"SD","https://peps.python.org/pep-0535/","PEP 535 – Rich comparison chaining","Alyssa Coghlan","3.8"
"SW","https://peps.python.org/pep-0536/","PEP 536 – Final Grammar for Literal String Interpolation","Philipp Angerer","3.7"
"IF","https://peps.python.org/pep-0537/","PEP 537 – Python 3.7 Release Schedule","Ned Deily","3.7"
"SF","https://peps.python.org/pep-0538/","PEP 538 – Coercing the legacy C locale to a UTF-8 based locale","Alyssa Coghlan","3.7"
"SF","https://peps.python.org/pep-0539/","PEP 539 – A New C-API for Thread-Local Storage in CPython","Erik M. Bray, Masayuki Yamamoto","3.7"
"SF","https://peps.python.org/pep-0540/","PEP 540 – Add a new UTF-8 Mode","Victor Stinner","3.7"
"PF","https://peps.python.org/pep-0541/","PEP 541 – Package Index Name Retention","Łukasz Langa",""
"SR","https://peps.python.org/pep-0542/","PEP 542 – Dot Notation Assignment In Function Header","Markus Meskanen",""
"SW","https://peps.python.org/pep-0543/","PEP 543 – A Unified TLS API for Python","Cory Benfield, Christian Heimes","3.7"
"SA","https://peps.python.org/pep-0544/","PEP 544 – Protocols: Structural subtyping (static duck typing)","Ivan Levkivskyi, Jukka Lehtosalo, Łukasz Langa","3.8"
"PF","https://peps.python.org/pep-0545/","PEP 545 – Python Documentation Translations","Julien Palard, Inada Naoki, Victor Stinner",""
"SR","https://peps.python.org/pep-0546/","PEP 546 – Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7","Victor Stinner, Cory Benfield","2.7"
"SD","https://peps.python.org/pep-0547/","PEP 547 – Running extension modules using the -m option","Marcel Plch, Petr Viktorin","3.7"
"SR","https://peps.python.org/pep-0548/","PEP 548 – More Flexible Loop Control","R David Murray","3.7"
"SR","https://peps.python.org/pep-0549/","PEP 549 – Instance Descriptors","Larry Hastings","3.7"
"SW","https://peps.python.org/pep-0550/","PEP 550 – Execution Context","Yury Selivanov, Elvis Pranskevichus","3.7"
"IW","https://peps.python.org/pep-0551/","PEP 551 – Security transparency in the Python runtime","Steve Dower","3.7"
"SF","https://peps.python.org/pep-0552/","PEP 552 – Deterministic pycs","Benjamin Peterson","3.7"
"SF","https://peps.python.org/pep-0553/","PEP 553 – Built-in breakpoint()","Barry Warsaw","3.7"
"SS","https://peps.python.org/pep-0554/","PEP 554 – Multiple Interpreters in the Stdlib","Eric Snow","3.13"
"SW","https://peps.python.org/pep-0555/","PEP 555 – Context-local variables (contextvars)","Koos Zevenhoven","3.7"
"SD","https://peps.python.org/pep-0556/","PEP 556 – Threaded garbage collection","Antoine Pitrou","3.7"
"SF","https://peps.python.org/pep-0557/","PEP 557 – Data Classes","Eric V. Smith","3.7"
"SD","https://peps.python.org/pep-0558/","PEP 558 – Defined semantics for locals()","Alyssa Coghlan","3.13"
"SR","https://peps.python.org/pep-0559/","PEP 559 – Built-in noop()","Barry Warsaw","3.7"
"SA","https://peps.python.org/pep-0560/","PEP 560 – Core support for typing module and generic types","Ivan Levkivskyi","3.7"
"SF","https://peps.python.org/pep-0561/","PEP 561 – Distributing and Packaging Type Information","Ethan Smith","3.7"
"SF","https://peps.python.org/pep-0562/","PEP 562 – Module __getattr__ and __dir__","Ivan Levkivskyi","3.7"
"SA","https://peps.python.org/pep-0563/","PEP 563 – Postponed Evaluation of Annotations","Łukasz Langa","3.7"
"SF","https://peps.python.org/pep-0564/","PEP 564 – Add new time functions with nanosecond resolution","Victor Stinner","3.7"
"SF","https://peps.python.org/pep-0565/","PEP 565 – Show DeprecationWarning in __main__","Alyssa Coghlan","3.7"
"SF","https://peps.python.org/pep-0566/","PEP 566 – Metadata for Python Software Packages 2.1","Dustin Ingram","3.x"
"SF","https://peps.python.org/pep-0567/","PEP 567 – Context Variables","Yury Selivanov","3.7"
"SD","https://peps.python.org/pep-0568/","PEP 568 – Generator-sensitivity for Context Variables","Nathaniel J. Smith","3.8"
"IA","https://peps.python.org/pep-0569/","PEP 569 – Python 3.8 Release Schedule","Łukasz Langa","3.8"
"SF","https://peps.python.org/pep-0570/","PEP 570 – Python Positional-Only Parameters","Larry Hastings, Pablo Galindo, Mario Corchero, Eric N. Vander Weele","3.8"
"IS","https://peps.python.org/pep-0571/","PEP 571 – The manylinux2010 Platform Tag","Mark  Williams, Geoffrey Thomas, Thomas Kluyver",""
"SF","https://peps.python.org/pep-0572/","PEP 572 – Assignment Expressions","Chris Angelico, Tim Peters, Guido van Rossum","3.8"
"SF","https://peps.python.org/pep-0573/","PEP 573 – Module State Access from C Extension Methods","Petr Viktorin, Alyssa Coghlan, Eric Snow, Marcel Plch","3.9"
"SF","https://peps.python.org/pep-0574/","PEP 574 – Pickle protocol 5 with out-of-band data","Antoine Pitrou","3.8"
"SW","https://peps.python.org/pep-0575/","PEP 575 – Unifying function/method classes","Jeroen Demeyer","3.8"
"SW","https://peps.python.org/pep-0576/","PEP 576 – Rationalize Built-in function classes","Mark Shannon","3.8"
"SW","https://peps.python.org/pep-0577/","PEP 577 – Augmented Assignment Expressions","Alyssa Coghlan","3.8"
"SA","https://peps.python.org/pep-0578/","PEP 578 – Python Runtime Audit Hooks","Steve Dower","3.8"
"IF","https://peps.python.org/pep-0579/","PEP 579 – Refactoring C functions and methods","Jeroen Demeyer",""
"SR","https://peps.python.org/pep-0580/","PEP 580 – The C call protocol","Jeroen Demeyer","3.8"
"PA","https://peps.python.org/pep-0581/","PEP 581 – Using GitHub Issues for CPython","Mariatta",""
"SR","https://peps.python.org/pep-0582/","PEP 582 – Python local packages directory","Kushal Das, Steve Dower, Donald Stufft, Alyssa Coghlan","3.12"
"IW","https://peps.python.org/pep-0583/","PEP 583 – A Concurrency Memory Model for Python","Jeffrey Yasskin",""
"SF","https://peps.python.org/pep-0584/","PEP 584 – Add Union Operators To dict","Steven D’Aprano, Brandt Bucher","3.9"
"SF","https://peps.python.org/pep-0585/","PEP 585 – Type Hinting Generics In Standard Collections","Łukasz Langa","3.9"
"SA","https://peps.python.org/pep-0586/","PEP 586 – Literal Types","Michael Lee, Ivan Levkivskyi, Jukka Lehtosalo","3.8"
"SF","https://peps.python.org/pep-0587/","PEP 587 – Python Initialization Configuration","Victor Stinner, Alyssa Coghlan","3.8"
"I","https://peps.python.org/pep-0588/","PEP 588 – GitHub Issues Migration Plan","Mariatta",""
"SA","https://peps.python.org/pep-0589/","PEP 589 – TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys","Jukka Lehtosalo","3.8"
"SA","https://peps.python.org/pep-0590/","PEP 590 – Vectorcall: a fast calling protocol for CPython","Mark Shannon, Jeroen Demeyer","3.8"
"SA","https://peps.python.org/pep-0591/","PEP 591 – Adding a final qualifier to typing","Michael J. Sullivan, Ivan Levkivskyi","3.8"
"SF","https://peps.python.org/pep-0592/","PEP 592 – Adding “Yank” Support to the Simple API","Donald Stufft",""
"SA","https://peps.python.org/pep-0593/","PEP 593 – Flexible function and variable annotations","Till Varoquaux, Konstantin Kashin","3.9"
"SF","https://peps.python.org/pep-0594/","PEP 594 – Removing dead batteries from the standard library","Christian Heimes, Brett Cannon","3.11"
"IW","https://peps.python.org/pep-0595/","PEP 595 – Improving bugs.python.org","Ezio Melotti, Berker Peksag",""
"IA","https://peps.python.org/pep-0596/","PEP 596 – Python 3.9 Release Schedule","Łukasz Langa","3.9"
"SF","https://peps.python.org/pep-0597/","PEP 597 – Add optional EncodingWarning","Inada Naoki","3.10"
"IW","https://peps.python.org/pep-0598/","PEP 598 – Introducing incremental feature releases","Alyssa Coghlan","3.9"
"IS","https://peps.python.org/pep-0599/","PEP 599 – The manylinux2014 Platform Tag","Dustin Ingram",""
"SF","https://peps.python.org/pep-0600/","PEP 600 – Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions","Nathaniel J. Smith, Thomas Kluyver",""
"SR","https://peps.python.org/pep-0601/","PEP 601 – Forbid return/break/continue breaking out of finally","Damien George, Batuhan Taskaya","3.8"
"IA","https://peps.python.org/pep-0602/","PEP 602 – Annual Release Cycle for Python","Łukasz Langa","3.9"
"S","https://peps.python.org/pep-0603/","PEP 603 – Adding a frozenmap type to collections","Yury Selivanov",""
"SA","https://peps.python.org/pep-0604/","PEP 604 – Allow writing union types as X | Y","Philippe PRADOS, Maggie Moss","3.10"
"IR","https://peps.python.org/pep-0605/","PEP 605 – A rolling feature release stream for CPython","Steve Dower, Alyssa Coghlan","3.9"
"SR","https://peps.python.org/pep-0606/","PEP 606 – Python Compatibility Version","Victor Stinner","3.9"
"IF","https://peps.python.org/pep-0607/","PEP 607 – Reducing CPython’s Feature Delivery Latency","Łukasz Langa, Steve Dower, Alyssa Coghlan","3.9"
"SR","https://peps.python.org/pep-0608/","PEP 608 – Coordinated Python release","Miro Hrončok, Victor Stinner","3.9"
"PA","https://peps.python.org/pep-0609/","PEP 609 – Python Packaging Authority (PyPA) Governance","Dustin Ingram, Pradyun Gedam, Sumana Harihareswara",""
"SF","https://peps.python.org/pep-0610/","PEP 610 – Recording the Direct URL Origin of installed distributions","Stéphane Bidoul, Chris Jerdonek",""
"SW","https://peps.python.org/pep-0611/","PEP 611 – The one million limit","Mark Shannon",""
